caseId,geneSymbol,count
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,TACC1,13261.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,TACC1,12995.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,PAQR6,12641.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,TACC1,12033.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,PAQR6,11860.0
41685c5a-a548-483a-8a20-305ad8d61771,TACC1,11635.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,PKIA,11600.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,TACC1,10911.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,PAQR6,10276.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,PAQR6,10059.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,PKIA,8540.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,TACC1,8387.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,BMP2,7769.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,TACC1,7244.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,SMAD3,6803.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,PAQR6,6748.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,SMAD3,6694.0
407849a8-8447-4ede-a9d1-c1dfb535222e,SERPINH1,6686.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,TACC1,5844.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,SMAD3,5341.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,SMAD3,4959.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,FTSJ3,4826.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,PAQR6,4787.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,FTSJ3,4754.0
407849a8-8447-4ede-a9d1-c1dfb535222e,TACC1,4543.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,FTSJ3,4452.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,BMP2,4395.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,FTSJ3,4181.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,BMP2,4173.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,FTSJ3,4122.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,SMAD3,3960.0
41685c5a-a548-483a-8a20-305ad8d61771,PKIA,3918.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,SMAD3,3898.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,BMP2,3692.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,SERPINH1,3559.0
41685c5a-a548-483a-8a20-305ad8d61771,SERPINH1,3462.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,PKIA,3440.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,PKIA,3131.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,SERPINH1,3071.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,SERPINH1,3062.0
41685c5a-a548-483a-8a20-305ad8d61771,CNTRL,3041.0
41685c5a-a548-483a-8a20-305ad8d61771,PAQR6,2898.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,FHDC1,2573.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,BMP2,2449.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,SERPINH1,2437.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,PKIA,2402.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,FHDC1,2374.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,CNTRL,2345.0
41685c5a-a548-483a-8a20-305ad8d61771,MXRA5,2322.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,PKIA,2312.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,FHDC1,2284.0
41685c5a-a548-483a-8a20-305ad8d61771,FTSJ3,2217.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,PKIA,2172.0
407849a8-8447-4ede-a9d1-c1dfb535222e,FTSJ3,2151.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,FTSJ3,2000.0
407849a8-8447-4ede-a9d1-c1dfb535222e,CNTRL,1819.0
3ed101b5-0007-4957-a25d-4cf43bde08b6,PAQR6,1738.0
407849a8-8447-4ede-a9d1-c1dfb535222e,SMAD3,1737.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,CNTRL,1729.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,TBCC,1669.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,MXRA5,1585.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,CNTRL,1497.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,CNTRL,1493.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,KIF11,1430.0
41685c5a-a548-483a-8a20-305ad8d61771,KIF11,1386.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,TBCC,1331.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,CNTRL,1303.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,TMEM11,1299.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,CNTRL,1279.0
a5f851c5-6130-4ea1-9f86-be59331a92f7,TBCC,1259.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,TMEM11,1244.0
407849a8-8447-4ede-a9d1-c1dfb535222e,FHDC1,1208.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,SERPINH1,1182.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,SMAD3,1159.0
ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,KIF11,1157.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,SERPINH1,1126.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,TBCC,1111.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,TMEM11,1106.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,FTSJ3,1098.0
3f960d3b-a58c-43d0-a8a4-f3555b399c9d,CNTRL,1061.0
a56c2083-33d5-4c98-b85f-3b68a3d80add,TMEM11,1048.0
e6c55ba6-4c8a-4ea4-8dde-74d01915db02,TBCC,1045.0
e7fdf164-a85d-4ff5-9676-d2215ca35403,TMEM11,1032.0
