entidad,clase_especifica
http://example.org/biointegrate/goterm/GO_0000278,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0000463,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0000466,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0000785,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0000922,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001501,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001510,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001649,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001658,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001666,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001701,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001837,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0001934,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0002062,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003129,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003133,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003176,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003181,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003203,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003210,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003272,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003331,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003677,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003682,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003684,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003723,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003777,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003779,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0003905,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0004032,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0004303,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0004842,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0004862,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005102,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005125,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005201,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005496,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005524,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005576,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005615,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005694,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005730,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005737,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005739,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005794,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005819,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005871,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005881,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0005884,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006029,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006275,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006284,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006307,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006355,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006366,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006513,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006693,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0006954,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007018,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007051,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007052,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007100,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007186,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007219,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007267,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007507,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0007586,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008083,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008202,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008270,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008285,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008574,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0008650,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0009617,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0009887,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0009986,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010389,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010628,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010629,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010718,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010894,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0010922,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0016020,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0016435,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0016655,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0019104,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0019211,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0019901,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0021537,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0021978,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030041,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030177,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030282,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030316,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030335,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030501,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030509,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030512,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030687,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030688,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0030855,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0031167,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0031406,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0031648,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0032052,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0032348,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0032991,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0033690,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0034236,http://example.org/biointegrate/GOTerm
http://example.org/biointegrate/goterm/GO_0035051,http://example.org/biointegrate/GOTerm
